state_name,district_name,year_month,gw_level_m_bgl
andhra pradesh,east godavari,2015-01,3.7320754716981135
andhra pradesh,east godavari,2015-05,4.208659793814433
andhra pradesh,east godavari,2015-08,2.580208333333333
andhra pradesh,east godavari,2015-11,3.2036559139784946
andhra pradesh,east godavari,2016-01,3.115076923076923
andhra pradesh,east godavari,2016-05,6.776470588235293
andhra pradesh,east godavari,2016-08,2.568469387755102
andhra pradesh,east godavari,2016-11,2.8588888888888886
andhra pradesh,east godavari,2017-01,3.6868316831683168
andhra pradesh,east godavari,2017-05,7.144090909090909
andhra pradesh,east godavari,2017-08,3.0465909090909093
andhra pradesh,east godavari,2017-11,2.3702061855670102
andhra pradesh,east godavari,2017-12,3.6318478260869567
andhra pradesh,east godavari,2018-05,7.27043956043956
andhra pradesh,east godavari,2018-08,2.46
andhra pradesh,east godavari,2018-11,2.8785454545454545
andhra pradesh,east godavari,2018-12,2.393125
andhra pradesh,east godavari,2019-01,4.560531914893617
andhra pradesh,east godavari,2019-05,6.309222222222223
andhra pradesh,east godavari,2019-08,2.8414814814814813
andhra pradesh,east godavari,2019-10,2.0086419753086417
andhra pradesh,east godavari,2020-01,2.976860465116279
andhra pradesh,east godavari,2020-11,2.3184883720930234
andhra pradesh,east godavari,2021-01,5.138965517241379
andhra pradesh,guntur,2013-01,3.3487301587301586
andhra pradesh,guntur,2013-05,5.274259259259259
andhra pradesh,guntur,2013-11,1.6596052631578946
andhra pradesh,guntur,2014-01,2.2916470588235294
andhra pradesh,guntur,2014-05,4.010824742268041
andhra pradesh,guntur,2014-08,3.450333333333333
andhra pradesh,guntur,2014-11,2.4036559139784943
andhra pradesh,guntur,2015-01,3.291960784313726
andhra pradesh,guntur,2015-05,4.6004000000000005
andhra pradesh,guntur,2015-08,3.5351020408163265
andhra pradesh,guntur,2015-11,3.977878787878788
andhra pradesh,guntur,2016-01,4.08135593220339
andhra pradesh,guntur,2016-05,6.121571428571428
andhra pradesh,guntur,2016-08,4.857241379310345
andhra pradesh,guntur,2016-11,3.532258064516129
andhra pradesh,guntur,2017-01,4.111136363636363
andhra pradesh,guntur,2017-05,5.531505376344086
andhra pradesh,guntur,2017-08,3.9373333333333336
andhra pradesh,guntur,2017-11,3.9495833333333334
